,,,accuracy,accuracy,macro_precision,macro_precision,macro_recall,macro_recall,macro_f1,macro_f1,n,n
,,,mean,std,mean,std,mean,std,mean,std,mean,std
architecture,augmentation,subgroup,,,,,,,,,,
ResNet,geo,background_wall,0.4492,0.0512,0.5835,0.091,0.443,0.05,0.4305,0.0387,118.0,0.0
ResNet,geo,background_white,0.625,0.0377,0.7346,0.0222,0.625,0.0377,0.6198,0.034,120.0,0.0
ResNet,geo,lighting_1,0.564,0.0264,0.6439,0.0235,0.5623,0.0263,0.5514,0.0234,239.0,0.0
ResNet,geo,lighting_2,0.4552,0.0321,0.6113,0.0138,0.4539,0.0319,0.4493,0.0256,239.0,0.0
ResNet,geo,view_1,0.5391,0.0387,0.6372,0.0321,0.5391,0.0387,0.5299,0.0384,240.0,0.0
ResNet,geo,view_2,0.4798,0.0211,0.6132,0.0477,0.4765,0.0209,0.4732,0.0176,238.0,0.0
ResNet,mixed,background_floor,0.5217,0.0286,0.6494,0.0379,0.5217,0.0286,0.5045,0.0406,120.0,0.0
ResNet,mixed,background_tree,0.4417,0.0317,0.4696,0.0462,0.4417,0.0317,0.3966,0.0409,120.0,0.0
ResNet,mixed,background_wall,0.5017,0.0277,0.5576,0.0557,0.4948,0.0273,0.4877,0.0328,118.0,0.0
ResNet,mixed,background_white,0.715,0.018,0.7722,0.0191,0.715,0.018,0.7072,0.0314,120.0,0.0
ResNet,mixed,lighting_1,0.5715,0.0184,0.6455,0.0271,0.5699,0.0183,0.5629,0.0182,239.0,0.0
ResNet,mixed,lighting_2,0.5188,0.0089,0.6017,0.0167,0.5173,0.0089,0.5027,0.0174,239.0,0.0
ResNet,mixed,view_1,0.5717,0.0149,0.6313,0.0128,0.5717,0.0149,0.5592,0.0158,240.0,0.0
ResNet,mixed,view_2,0.5185,0.0237,0.6322,0.0342,0.5152,0.0237,0.5092,0.0266,238.0,0.0
ResNet,photo,background_floor,0.65,0.0559,0.7162,0.0567,0.65,0.0559,0.6471,0.0559,120.0,0.0
ResNet,photo,background_tree,0.5117,0.0492,0.5558,0.0386,0.5117,0.0492,0.4884,0.0532,120.0,0.0
ResNet,photo,background_wall,0.5203,0.0258,0.6201,0.0438,0.5145,0.0278,0.4994,0.0416,118.0,0.0
ResNet,photo,background_white,0.65,0.0212,0.7914,0.0328,0.65,0.0212,0.6618,0.0167,120.0,0.0
ResNet,photo,lighting_1,0.6042,0.0288,0.6737,0.0272,0.6029,0.029,0.6041,0.0346,239.0,0.0
ResNet,photo,lighting_2,0.5624,0.0363,0.6285,0.0407,0.561,0.0366,0.5547,0.0435,239.0,0.0
ResNet,photo,view_1,0.6383,0.0276,0.7029,0.0279,0.6383,0.0276,0.6308,0.03,240.0,0.0
ResNet,photo,view_2,0.5277,0.0267,0.5986,0.0321,0.5254,0.0271,0.5299,0.0345,238.0,0.0
